Data read from file:/home/alejandro/CMAQv5.5/data/POST/COMBINE_ACONC_v55_intel_CR2_BASEv01_202409.nc (layer  1)

   Note: Times have been converted to local standard


siteid,column,row,longitude,latitude,date,Time,RH,SFC_TMP,PBLH,WSPD10,WDIR10
,,,degrees,degrees,YYYY-MM-DD,hh:mm:ss,%,K,m,m s-1,deg
701,28,35,-46.62007,-23.49629,2024-09-02,22:00:00,81.4320,291.259,252.344,2.64404,104.815
701,28,35,-46.62007,-23.49629,2024-09-02,23:00:00,83.4914,290.493,179.727,2.68934,101.984
701,28,35,-46.62007,-23.49629,2024-09-03,00:00:00,84.3574,290.266,174.271,2.37180,93.9662
701,28,35,-46.62007,-23.49629,2024-09-03,01:00:00,85.0619,290.047,167.475,2.97399,85.2735
701,28,35,-46.62007,-23.49629,2024-09-03,02:00:00,85.1219,289.870,139.187,2.76493,79.4957
701,28,35,-46.62007,-23.49629,2024-09-03,03:00:00,84.8235,289.761,94.5174,2.43233,74.2587
701,28,35,-46.62007,-23.49629,2024-09-03,04:00:00,84.8926,289.767,162.166,2.42944,69.6746
701,28,35,-46.62007,-23.49629,2024-09-03,05:00:00,85.6614,289.688,160.076,2.40629,68.7010
701,28,35,-46.62007,-23.49629,2024-09-03,06:00:00,86.3019,289.399,116.597,2.15311,70.9776
701,28,35,-46.62007,-23.49629,2024-09-03,07:00:00,82.1932,289.858,83.6808,2.66221,67.8521
701,28,35,-46.62007,-23.49629,2024-09-03,08:00:00,71.0310,291.743,104.183,1.90626,71.7312
701,28,35,-46.62007,-23.49629,2024-09-03,09:00:00,58.4480,294.678,223.594,1.05701,84.3370
701,28,35,-46.62007,-23.49629,2024-09-03,10:00:00,47.5992,297.543,427.367,0.311851,177.162
701,28,35,-46.62007,-23.49629,2024-09-03,11:00:00,38.3245,300.142,665.728,1.54790,250.789
701,28,35,-46.62007,-23.49629,2024-09-03,12:00:00,31.5613,302.250,1381.97,2.76545,255.113
701,28,35,-46.62007,-23.49629,2024-09-03,13:00:00,27.3791,303.613,2019.87,2.61515,251.926
701,28,35,-46.62007,-23.49629,2024-09-03,14:00:00,25.6853,304.454,2407.72,3.72318,247.168
