Data read from file:/home/alejandro/CMAQv5.5/data/POST/COMBINE_ACONC_v55_intel_CR2_BASEv01_202409.nc (layer  1)

   Note: Times have been converted to local standard


siteid,column,row,longitude,latitude,date,Time,O3_UGM3,NO_UGM3,NO2_UGM3,NH3_UGM3,CO,SO2_UGM3,TOL_UGM3,PM10,PM25_TOT,N10,N20,N40,N100
,,,degrees,degrees,YYYY-MM-DD,hh:mm:ss,ug m-3,ug m-3,ug m-3,ug m-3,ppbV,ug m-3,ug m-3,ug m-3,ug m-3,cm-3,cm-3,cm-3,cm-3
275,10,56,-47.11928,-22.94673,2024-09-01,23:00:00,15.8427,2.26474,32.3515,4.70428,258.416,0.846079,3.11791,22.9547,7.32197,4814.54,4033.02,1987.80,552.768
275,10,56,-47.11928,-22.94673,2024-09-02,00:00:00,3.49557,12.3701,47.0394,5.82729,441.822,1.04906,6.41392,25.8762,9.62767,7712.41,6361.41,2957.81,770.751
275,10,56,-47.11928,-22.94673,2024-09-02,01:00:00,0.188150,44.8237,55.2407,7.98625,808.883,1.44262,13.0305,31.5597,14.3254,13441.8,10914.7,4838.04,1202.27
275,10,56,-47.11928,-22.94673,2024-09-02,02:00:00,0.949405E-02,82.1264,61.5617,10.2810,1201.62,1.86200,20.1024,38.0250,19.5394,19533.2,15931.2,6951.56,1669.32
275,10,56,-47.11928,-22.94673,2024-09-02,03:00:00,0.471841E-03,116.014,66.7892,12.7947,1527.50,2.26125,26.0754,44.0021,24.1624,24570.6,20344.2,8907.85,2069.98
275,10,56,-47.11928,-22.94673,2024-09-02,04:00:00,0.570396E-04,141.659,70.4473,14.6157,1768.30,2.60283,30.4735,48.7798,27.7746,28271.4,23596.0,10418.9,2382.64
275,10,56,-47.11928,-22.94673,2024-09-02,05:00:00,0.746634E-04,145.130,71.5125,15.1882,1790.37,2.67006,30.8548,50.0937,28.6680,28825.1,24273.3,10847.4,2452.47
275,10,56,-47.11928,-22.94673,2024-09-02,06:00:00,0.366433,135.008,69.0702,14.7220,1683.36,2.58890,28.8605,48.9566,27.8691,27684.1,23538.5,10631.6,2375.65
275,10,56,-47.11928,-22.94673,2024-09-02,07:00:00,4.54304,118.705,65.4220,12.8662,1531.58,2.38780,25.8809,47.1691,26.8548,25514.8,22216.8,10401.9,2263.29
275,10,56,-47.11928,-22.94673,2024-09-02,08:00:00,13.4897,72.9567,59.5374,8.95177,1097.28,1.79859,17.7640,40.5146,21.9288,18311.3,16197.4,7993.51,1768.21
275,10,56,-47.11928,-22.94673,2024-09-02,09:00:00,29.3031,34.1973,48.5950,5.62261,697.104,1.22385,10.3828,33.7947,16.8817,11442.6,10355.5,5500.86,1254.82
275,10,56,-47.11928,-22.94673,2024-09-02,10:00:00,45.9596,19.6038,39.7418,3.97807,529.311,0.943092,7.25298,30.4148,14.4528,8230.19,7552.56,4173.29,987.756
275,10,56,-47.11928,-22.94673,2024-09-02,11:00:00,64.3903,13.6110,37.1750,3.17095,474.880,0.947957,6.08325,32.3343,15.7293,7375.08,6960.87,4100.29,965.648
275,10,56,-47.11928,-22.94673,2024-09-02,12:00:00,72.2806,6.89455,21.5036,1.88608,321.381,0.663705,3.35837,27.3194,13.0706,5086.12,4822.80,2944.51,737.591
275,10,56,-47.11928,-22.94673,2024-09-02,13:00:00,59.4506,3.05498,7.76593,1.06185,166.083,0.251985,1.32720,15.6716,5.37442,2111.71,1735.08,924.515,315.346
275,10,56,-47.11928,-22.94673,2024-09-02,14:00:00,53.5776,2.52156,6.23942,0.913741,142.344,0.192978,1.05973,13.2076,4.11669,1643.29,1338.86,713.715,251.727
275,10,56,-47.11928,-22.94673,2024-09-02,15:00:00,51.5471,2.12796,6.08754,0.890690,135.271,0.182644,0.960533,12.7036,3.87418,1523.86,1239.25,662.949,236.454
275,10,56,-47.11928,-22.94673,2024-09-02,16:00:00,49.5632,1.65156,6.87560,0.956492,133.438,0.187366,0.936742,12.9481,3.82747,1514.26,1227.89,652.449,232.500
275,10,56,-47.11928,-22.94673,2024-09-02,17:00:00,43.6436,0.984722,11.2314,1.32462,150.964,0.232793,1.23476,13.4497,4.00423,1834.60,1475.71,752.320,254.239
275,10,56,-47.11928,-22.94673,2024-09-02,18:00:00,32.6409,0.942533,20.7163,2.33178,203.419,0.373375,2.12322,14.6779,4.66328,2769.70,2204.65,1053.63,323.894
275,10,56,-47.11928,-22.94673,2024-09-02,19:00:00,15.9045,2.23810,37.2296,4.71861,302.809,0.682107,3.79860,17.2581,6.09066,4575.41,3614.89,1614.16,453.896
275,10,56,-47.11928,-22.94673,2024-09-02,20:00:00,1.41278,13.8996,51.8066,9.36481,475.838,1.26494,6.71780,21.3218,8.59241,7733.45,6179.46,2658.25,685.490
275,10,56,-47.11928,-22.94673,2024-09-02,21:00:00,0.286564E-01,31.7132,54.8259,13.0419,623.044,1.72323,9.42002,23.7927,11.0536,10489.4,8690.33,3813.34,930.895
275,10,56,-47.11928,-22.94673,2024-09-02,22:00:00,0.745304E-01,27.1348,70.8061,9.70649,663.431,2.31710,10.4825,18.0977,12.3550,10135.2,8644.43,4367.71,1138.03
275,10,56,-47.11928,-22.94673,2024-09-02,23:00:00,0.252609,19.0625,68.8903,8.59716,607.394,2.24192,9.25895,19.4176,13.3233,9503.18,7775.32,4010.39,1121.96
275,10,56,-47.11928,-22.94673,2024-09-03,00:00:00,0.619986E-01,36.5746,67.2342,9.14875,790.586,2.10838,12.4424,23.2522,15.9506,12197.7,9716.34,4860.53,1321.83
275,10,56,-47.11928,-22.94673,2024-09-03,01:00:00,0.837167E-02,75.2433,73.6856,10.5444,1204.12,2.33014,19.9150,31.0824,21.3048,18143.5,14428.9,7034.86,1814.79
275,10,56,-47.11928,-22.94673,2024-09-03,02:00:00,0.152314E-02,119.900,81.4214,12.3493,1667.27,2.67393,28.3235,39.8470,27.4781,24779.4,19826.4,9586.64,2434.29
275,10,56,-47.11928,-22.94673,2024-09-03,03:00:00,0.272876E-03,157.195,85.8983,14.8816,2026.76,3.02652,34.8411,48.7048,33.4795,30069.6,24818.4,12340.9,3051.94
275,10,56,-47.11928,-22.94673,2024-09-03,04:00:00,0.294666E-04,194.590,89.8569,18.1518,2373.53,3.44520,41.2243,55.8677,38.0111,34754.8,29376.6,14628.2,3492.76
275,10,56,-47.11928,-22.94673,2024-09-03,05:00:00,0.446112E-05,211.210,90.6104,20.3088,2517.34,3.65630,43.9532,58.7562,39.7992,36470.9,31312.9,15632.3,3658.57
275,10,56,-47.11928,-22.94673,2024-09-03,06:00:00,0.254282,220.238,90.3552,21.1027,2588.05,3.71379,45.3598,60.2503,40.9968,37249.0,32547.0,16407.0,3762.82
275,10,56,-47.11928,-22.94673,2024-09-03,07:00:00,3.54781,207.469,90.3290,16.5891,2494.29,3.46646,43.5450,60.8238,41.9706,35232.0,31526.7,16713.3,3772.41
275,10,56,-47.11928,-22.94673,2024-09-03,08:00:00,13.9077,96.1496,80.8790,12.3781,1477.22,2.26722,24.4922,45.7200,29.0176,21099.9,18048.3,9493.84,2333.57
275,10,56,-47.11928,-22.94673,2024-09-03,09:00:00,35.2845,38.9427,68.7686,9.78788,921.177,1.47179,13.9465,39.7790,22.8822,13279.1,11518.4,6243.88,1614.72
275,10,56,-47.11928,-22.94673,2024-09-03,10:00:00,57.5782,19.1183,50.4517,6.22243,642.317,1.00988,8.79030,35.1774,18.4618,8983.73,7977.16,4457.12,1166.47
275,10,56,-47.11928,-22.94673,2024-09-03,11:00:00,71.9448,10.1435,32.2704,3.47332,446.002,0.689610,5.36233,29.0738,14.0127,6011.81,5435.80,3056.14,816.504
275,10,56,-47.11928,-22.94673,2024-09-03,12:00:00,79.8181,5.15602,18.5604,1.76733,308.503,0.454817,3.05134,22.7752,10.7035,3933.23,3555.29,2028.44,587.065
275,10,56,-47.11928,-22.94673,2024-09-03,13:00:00,59.5834,2.89953,7.86069,1.07519,166.108,0.227301,1.33413,14.5346,5.06929,2030.64,1664.80,878.956,298.715
275,10,56,-47.11928,-22.94673,2024-09-03,14:00:00,55.9435,2.50242,6.97241,1.02630,150.117,0.205677,1.15069,13.6007,4.47032,1811.19,1466.47,765.060,264.830
275,10,56,-47.11928,-22.94673,2024-09-03,15:00:00,54.6584,2.09845,6.94122,1.03933,144.419,0.203695,1.06132,13.5025,4.33308,1739.07,1408.96,736.007,255.605
275,10,56,-47.11928,-22.94673,2024-09-03,16:00:00,52.3598,1.53754,7.40110,1.08939,138.965,0.198288,0.992102,13.1510,4.13271,1666.07,1341.63,696.077,243.707
